content	label
Guten Tag, I am staying overnight in Cambridge and need a place to sleep. I need free parking and internet.	area
Hi there! Can you give me some info on Cityroomz?	not
I am looking for a hotel named alyesbray lodge guest house.	not
I am looking for a restaurant. I would like something cheap that has Chinese food.	not
I'm looking for an expensive restaurant in the centre if you could help me.	area
I'm looking for a places to go and see during my upcoming trip to Cambridge.	not
Yeah, could you recommend a good gastropub?	not
I want to find an expensive restaurant and serves european food. Can i also have the address, phone number and its area. ?	not
Where's a good place to eat crossover food in Cambridge?	not
I need a place to stay that has free wifi.	not
I am looking for a restaurant that is in the expensive price range and in the south part of town.	area
Can you help me find an expensive Chinese food restaurant?	not
I'm looking to go to dinner tonight and am in the mood for some good Bistro in the centre of town, can you find me some options?	area
I am looking for a particular restaurant. Its name is called travellers rest	not
Heya, can you find me an expensive restaurant with north african food?	not
I am looking for a restaurant.	not
I am looking for a high priced hotel in the north side of town	area
Hi, what can you tell me about the bangkok city restaurant?	not
I'm looking for a hotel, can you help?	not
Please find me a place to dine that's expensive and in the centre.	area
I'm looking for a particular restaurant called ask. Please give me information on that restaurant.	not
Hey, I'm up south can you give me a place to eat?	area
I will be staying in Cambridge. I need a hotel with wifi.	not
I live in the centre of town and want to see if I can find a reasonable room for my parents to stay while they are visiting.	area
I am looking for information in Cambridge. I need a place to dine.	not
I would like to find a cheap hotel to stay at where there is free parking. Do you have any suggestions?	not
I am looking for a 4 star place to stay.	not
I'm looking for a place to eat. I would like it to be an expensive restaurant in the centre.	area
I would like to find out information about a hotel called Warkworth House.	not
I need a hotel with free wifi and free parking, thank you	not
We will be on the west side of town and would like to find a place to eat while there.	area
I'm looking for a hotel that includes free wifi and free parking.	not
Let's find me an expensiove place to eat in the centre	area
I would like to eat in the Center of town at a expensive place.	area
Can you help me find a place to stay that's four stars and has free wifi?	not
I don't know if this is possible but can you please get me some information on the alexander bed and breakfast?	not
Hello, I'm looking for a place to stay in town. I'd like a place with free parking and a 2 star rating, please.	not
Can you help me in finding a suitable guesthouse please?	not
Hi, I want a moderately priced restaurant located in the south part of town.	area
I would like inexpensive Turkish food.	not
Hi! Would you please help me find a hotel to stay at?	not
I would like a restaurant that serves world food	not
I need a South restaurant with british food.	area
Are you able to find me a french expensive restaurant?	not
Could you help me find a 0 star hotel?	not
Good morning, I need help finding a restaurant that serves bistro in the moderate price range.	not
I'm looking for a hotel called Kirkwood House please.	not
Can you help me find a moderately priced place to eat located in the centre?	area
Can you help me find a place to stay that is expensive and includes free parking?	not
I want to find an expensive restaurant in the centre of town.	area
What are my options for cheap restaurants in the city center?	area
I would like a guesthouse in the moderate price range. Do you think you could find one for me?	not
I am looking for a hotel that gives me free parking and free wifi.	not
Is there any place here in the centre that serves corsica food?	area
I am looking for a cheap restaurant that serves Scandinavian food	not
I am looking for a place to stay. The hotel should include free wifi and should be in the type of hotel	not
Can you find me a 3 star hotel in the centre?	area
I'm looking for a restaurant that serves international food.	not
I need a three star hotel with internet. Can you help?	not
I'm looking for a hotel called city centre north b and b	not
I am look for a hotel near the beach near the main strip	not
I'm looking for an expensive restaurant in the south part of town	area
I am looking for information about a hotel called the autumn house.	not
I am looking for a place to stay.	not
I want to find a restaurant in the east part of town. It serves chinese food. What is the address, phone number, and postcode?	area
I'm looking for a cheap place to stay. Can you help?	not
I'm looking for a hotel, is that something you help with?	not
